ticker,quality,stop_ticks,trail_ticks,trail_arm_ticks,target_min_ticks,max_attempts,tick_rub,risk_1lot_rub,net_target_1lot_rub,reason
NGK6,core,3,3,6,10,5,7.1209,21.36,60.74,"спред 2т, комиссия круг 1.47т, средний 1m шум 0.91т"
BMM6,wide,7,6,9,16,3,0.71209,4.98,7.61,"спред 1т, комиссия круг 5.31т, средний 1m шум 2.71т"
BRM6,wide,8,7,10,18,3,7.1209,56.97,90.44,"спред 2т, комиссия круг 5.3т, средний 1m шум 3.01т"
NGM6,core,3,3,6,10,5,7.1209,21.36,60.24,"спред 2т, комиссия круг 1.54т, средний 1m шум 1.37т"
RIM6,wide,7,6,9,16,3,14.2418,99.69,145.69,"спред 1т, комиссия круг 5.77т, средний 1m шум 0.58т"
RMM6,research,4,4,7,14,2,7.1209,28.48,91.5,"спред 2т, комиссия круг 1.15т, средний 1m шум 0.44т"
VBM6,wide,7,6,9,16,3,1.0,7.0,11.46,"спред 2т, комиссия круг 4.54т, средний 1m шум 1.21т"
MXM6,wide,8,7,10,18,3,25.0,200.0,317.5,"спред 2т, комиссия круг 5.3т, средний 1m шум 0.62т"
YDM6,wide,7,6,9,16,3,1.0,7.0,13.96,"спред 4т, комиссия круг 2.04т, средний 1m шум 1.65т"
GZM6,wide,9,8,11,20,3,1.0,9.0,14.06,"спред 3т, комиссия круг 5.94т, средний 1m шум 1.49т"
S1M6,wide,9,8,11,20,3,0.71209,6.41,11.52,"спред 5т, комиссия круг 3.82т, средний 1m шум 1.6т"
CRM6,skip,0,0,0,0,0,1.0,0,0,нет нормального стакана/объема в текущем срезе
SRM6,research,21,17,24,53,2,1.0,21.0,36.7,"спред 4т, комиссия круг 16.3т, средний 1m шум 2.56т"
MMM6,research,42,34,45,105,2,0.5,21.0,39.24,"спред 15т, комиссия круг 26.52т, средний 1m шум 5.49т"
GNM6,research,31,25,34,78,2,0.71209,22.07,39.54,"спред 8т, комиссия круг 22.47т, средний 1m шум 7.49т"
LKM6,research,58,47,61,145,2,1.0,58.0,119.02,"спред 32т, комиссия круг 25.98т, средний 1m шум 13.33т"
SiM6,skip,0,0,0,0,0,1.0,0,0,нет нормального стакана/объема в текущем срезе
