ticker,quality,stop_ticks,trail_ticks,trail_arm_ticks,target_min_ticks,max_attempts,tick_rub,risk_1lot_rub,net_target_1lot_rub,reason,v7_family,v7_signal_family,v7_direction,v7_entry_timing,v7_test_net_2t,v7_test_pf_2t,v7_rank_ticker
BRQ6,classic_core,15,1,55,56,200,7.1209,106.81,,V7 vwap_impulse short next_bar_open test2t=7301.10 pf=1.79 mode=direct_ticks close_ref=97.55 live_policy_min_stop15,BR,vwap_impulse,short,next_bar_open,7301.09793495005,1.7946192021223033,1
BRU6,classic_core,144,1,13,14,200,7.1209,1025.41,,V7 pure_trailing_after_impulse both next_bar_open test2t=8974.16 pf=1.55 mode=direct_ticks close_ref=95.18,BR,pure_trailing_after_impulse,both,next_bar_open,8974.16051084946,1.5482744399058752,1
BRV6,classic_core,15,1,13,14,200,7.1209,106.81,,V7 pure_trailing_after_impulse long adverse_half_spread_proxy test2t=3389.28 pf=2.61 mode=direct_ticks close_ref=93.74 live_policy_min_stop15,BR,pure_trailing_after_impulse,long,adverse_half_spread_proxy,3389.28450000009,2.605532962948649,1
BTK6,classic_core,759,16,152,168,200,0.07121,54.05,,V7 pure_trailing_after_impulse short next_bar_open test2t=5452.07 pf=1.34 mode=percent close_ref=75803,BT,pure_trailing_after_impulse,short,next_bar_open,5452.067700000012,1.34398574079457,1
BTM6,classic_core,383,16,613,629,200,0.07121,27.27,,V7 momentum_breakout short next_bar_open test2t=6099.95 pf=1.55 mode=percent close_ref=76548,BT,momentum_breakout,short,next_bar_open,6099.951199999984,1.554613269164972,1
BTN6,classic_core,55,5,144,149,200,0.07121,3.92,,V7 vwap_impulse both next_bar_open test2t=6855.85 pf=1.39 mode=direct_ticks close_ref=77273,BT,vwap_impulse,both,next_bar_open,6855.847999999993,1.392228721785159,1
LKU6,classic_core,1,2,144,146,200,1.0,1.0,,V7 vwap_impulse both signal_bar_close test2t=4319.23 pf=2.85 mode=direct_ticks close_ref=53743,LK,vwap_impulse,both,signal_bar_close,4319.231999999999,2.8482338739665485,1
PDU6,classic_core,21,13,89,102,200,0.71209,14.95,,V7 pure_trailing_after_impulse long signal_bar_close test2t=12739.60 pf=2.86 mode=direct_ticks close_ref=1438.59,PD,pure_trailing_after_impulse,long,signal_bar_close,12739.59649999947,2.8646808455203567,1
PTM6,classic_core,144,1,13,14,200,7.1209,1025.41,,V7 momentum_breakout both next_bar_open test2t=7026.13 pf=3.58 mode=direct_ticks close_ref=1952,PT,momentum_breakout,both,next_bar_open,7026.127941900599,3.579449440552375,1
PTU6,classic_core,13,2,34,36,200,7.1209,92.57,,V7 vwap_impulse both next_bar_open test2t=5417.43 pf=1.37 mode=direct_ticks close_ref=1987.7,PT,vwap_impulse,both,next_bar_open,5417.43474154963,1.3680260082589928,1
PTZ6,classic_core,34,2,21,23,200,7.1209,242.11,,V7 momentum_breakout both signal_bar_close test2t=24663.87 pf=2.99 mode=direct_ticks close_ref=2067,PT,momentum_breakout,both,signal_bar_close,24663.87447054992,2.9938361631144,1
SVH7,classic_core,8,1,8,9,200,7.1209,56.97,,V7 pure_trailing_after_impulse long next_bar_open test2t=7894.87 pf=2.38 mode=direct_ticks close_ref=84.4,SV,pure_trailing_after_impulse,long,next_bar_open,7894.874181449935,2.382704509386376,1
SiM7,classic_core,144,2,34,36,200,1.0,144.0,,V7 pure_trailing_after_impulse short next_bar_open test2t=9637.06 pf=2.86 mode=direct_ticks close_ref=79955,Si,pure_trailing_after_impulse,short,next_bar_open,9637.058499999996,2.8649751301067226,1
GLH7,gl_watch,34,2,377,379,200,0.1,3.4,,V7 vwap_impulse short next_bar_open test2t=12783.30 pf=4.98 mode=direct_ticks close_ref=11715.9,GL,vwap_impulse,short,next_bar_open,12783.2995,4.981154969,1
GLM6,gl_watch,1568,21,314,335,200,0.1,156.8,,V7 momentum_breakout short signal_bar_close test2t=6717.76 pf=1.52 mode=percent close_ref=10450.8,GL,momentum_breakout,short,signal_bar_close,6717.75590000011,1.5222371577698728,1
GLZ6,gl_watch,900,57,225,282,200,0.1,90.0,,V7 vwap_impulse short next_bar_open test2t=11989.16 pf=3.44 mode=percent close_ref=11248.9,GL,vwap_impulse,short,next_bar_open,11989.159500000083,3.435728176839381,1
AMDperpA,neo,942,10,38,48,200,0.7117,670.42,,V7 momentum_breakout long next_bar_open test2t=11339.46 pf=2.28 mode=percent close_ref=470.99,AMDperpA,momentum_breakout,long,next_bar_open,11339.457599999976,2.281722536636662,1
COINperpA,neo,34,1,13,14,200,0.7117,24.2,,V7 pure_trailing_after_impulse short next_bar_open test2t=10725.61 pf=3.02 mode=direct_ticks close_ref=187.32,COINperpA,pure_trailing_after_impulse,short,next_bar_open,10725.607500000076,3.0150846611707296,1
