ticker,signal_family,direction,entry_timing,session_filter,momentum_pct,momentum_ticks,breakout_lookback,trend_fast,trend_slow,volume_multiplier,volume_window,vwap_mode,vwap_buffer_pct,cooldown_minutes,max_hold_minutes,source_stage2_id,source_batch,match_quality,score,source_stop_ticks,source_trail_ticks,source_activation_ticks,source_test_net_2t,source_file
BRQ6,vwap_impulse,short,next_bar_open,exclude_first_last_10_minutes,0.005,21,34,,,1.5,120,rolling60,0.001,10,15,S2_0108_0555,v7_01_profit_leaders,closest_stage2_profile,13782.032,13.0,1.0,55.0,1384.7815000000055,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BRU6,pure_trailing_after_impulse,both,next_bar_open,all_available_data,0.005,21,34,,,1.5,120,disabled,0.0,10,15,S2_0113_1102,v7_01_profit_leaders,exact_exit_same_signal,13817.724,144.0,1.0,13.0,1622.659999999909,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BRV6,pure_trailing_after_impulse,long,adverse_half_spread_proxy,all_available_data,0.0005,3,5,,,0.0,20,disabled,0.0,0,180,S2_0123_0223,v7_03_robust_clusters,closest_stage2_profile,13548.469,3.0,1.0,21.0,3582.197999999963,reports\v7_stage3_batches\v7_03_robust_clusters\v7_selected_stage2_profiles.csv
BTK6,pure_trailing_after_impulse,short,next_bar_open,main_session_only_if_identifiable,0.0015,8,13,,,0.8,60,disabled,0.0,3,180,S2_0155_2523,v7_01_profit_leaders,closest_stage2_profile,13570.002,747.4040404040404,15.446464646464646,149.88282828282829,4840.589000000002,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BTM6,momentum_breakout,short,next_bar_open,exclude_first_last_10_minutes,0.0015,8,13,,,0.8,60,disabled,0.0,3,180,S2_0165_2405,v7_01_profit_leaders,closest_stage2_profile,9185.295,614.4038461538462,15.807692307692308,614.4038461538462,7546.390500000004,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
BTN6,vwap_impulse,both,next_bar_open,all_available_data,0.0015,8,13,,,0.8,60,rolling20,0.0002,3,15,S2_0177_0917,v7_01_profit_leaders,exact_exit_same_signal,13826.337,55.0,5.0,144.0,10859.937499999993,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
LKU6,vwap_impulse,both,signal_bar_close,exclude_first_last_10_minutes,0.0015,8,13,,,0.8,60,rolling20,0.0002,3,15,S2_0248_0017,v7_01_profit_leaders,exact_exit_same_signal,13833.608,1.0,2.0,144.0,5004.428499999998,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
PDU6,pure_trailing_after_impulse,long,signal_bar_close,main_session_only_if_identifiable,0.0015,8,13,,,0.8,60,disabled,0.0,3,15,S2_0336_0716,v7_01_profit_leaders,exact_exit_same_signal,13858.726,21.0,13.0,89.0,14402.379499999362,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
PTM6,momentum_breakout,both,next_bar_open,all_available_data,0.005,21,34,,,1.5,120,disabled,0.0,10,60,S2_0372_1102,v7_01_profit_leaders,exact_exit_same_signal,13813.764,144.0,1.0,13.0,646.5750000001373,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
PTU6,vwap_impulse,both,next_bar_open,main_session_only_if_identifiable,0.0015,8,13,,,0.8,60,rolling20,0.0002,3,15,S2_0380_0563,v7_07_metals_pd_pt_sv,closest_stage2_profile,13760.482,13.0,2.0,21.0,2942.635000000004,reports\v7_stage3_batches\v7_07_metals_pd_pt_sv\v7_selected_stage2_profiles.csv
PTZ6,momentum_breakout,both,signal_bar_close,all_available_data,0.0005,3,5,,,0.0,20,disabled,0.0,0,15,S2_0390_0563,v7_01_profit_leaders,closest_stage2_profile,13485.906,13.0,2.0,21.0,6029.841500000013,reports\v7_stage3_batches\v7_01_profit_leaders\v7_selected_stage2_profiles.csv
