ticker,rows,final_label,test_trades,test_net_2t,test_pf_2t,remove_best_3_net_2t,neighborhood_profitable_2t_pct,microstructure_risk,signal_family,direction,sizing_mode,entry_timing
PDU6,9898,KEEP_FOR_LIVE_PAPER,86,17145.14599999983,6.75881373142077,11138.837999999823,1.0,HIGH,range_expansion,both,ticks,next_bar_open
PTU6,10625,KEEP_FOR_LIVE_PAPER,43,2601.968500000047,7.63480586838149,463.8325000000437,0.997,HIGH,momentum_breakout,long,ticks,next_bar_open
BRV6,10876,KEEP_FOR_LIVE_PAPER,54,762.2614999999907,4.7880582922315,437.272499999992,1.0,HIGH,pure_trailing_after_impulse,long,ticks,next_bar_open
GLM6,71531,KEEP_FOR_LIVE_PAPER,54,8505.719500000067,1.7868604495456346,3732.9740000000734,0.658,LOW,momentum_breakout,short,percent,next_bar_open
AMDperpA,13699,KEEP_FOR_LIVE_PAPER,42,3120.161500000065,7.63587418863696,1004.3490000000576,1.0,LOW,range_expansion,long,ticks,next_bar_open
BTM6,19915,KEEP_FOR_LIVE_PAPER,55,2053.0060000000003,2.596918182489956,755.1754999999998,0.898,LOW,vwap_impulse,short,ticks,next_bar_open
NAM6,67162,KEEP_FOR_LIVE_PAPER,86,1650.6715000000013,1.4588712162521102,1034.6615000000002,0.703,LOW,momentum_breakout,long,ticks,next_bar_open
NVM6,36036,KEEP_FOR_LIVE_PAPER,50,1350.2950000000003,2.458141319178414,792.3489999999999,0.633,LOW,vwap_impulse,short,percent,adverse_1tick
CMM6,10163,KEEP_FOR_LIVE_PAPER,71,830.1285,3.245596404355782,315.9325,0.973,LOW,pure_trailing_after_impulse,long,ticks,next_bar_open
BRN6,39305,KEEP_FOR_LIVE_PAPER,46,537.0100000000062,1.93794483869224,276.0885000000053,0.854,LOW,momentum_breakout,short,ticks,next_bar_open
CHM6,10761,KEEP_FOR_LIVE_PAPER,179,10399.861000000004,3.1526071940266025,8433.7725,0.999,MEDIUM,vwap_impulse,both,ticks,next_bar_open
AMZNperpA,12261,KEEP_FOR_LIVE_PAPER,165,8031.149916950485,2.296543097724373,3901.9994169504857,0.977,MEDIUM,pure_trailing_after_impulse,both,ticks,next_bar_open
TSLAperpA,13973,KEEP_FOR_LIVE_PAPER,45,7185.583000000025,3.392232350977439,4629.753500000024,0.933,MEDIUM,pure_trailing_after_impulse,long,percent,adverse_1tick
TTM6,13589,KEEP_FOR_LIVE_PAPER,154,5202.798500000001,2.688290088220874,3743.0445,0.955,MEDIUM,range_expansion,long,ticks,adverse_1tick
RNM6,36732,KEEP_FOR_LIVE_PAPER,71,4535.694499999999,1.6974232963373732,2612.5025,0.911,MEDIUM,pure_trailing_after_impulse,short,percent,next_bar_open
COINperpA,11194,KEEP_FOR_LIVE_PAPER,67,3633.57656403042,7.165830911202947,1966.1950640304235,1.0,MEDIUM,pure_trailing_after_impulse,short,ticks,next_bar_open
SGM6,20256,KEEP_FOR_LIVE_PAPER,72,2432.423500000001,2.0410302950413306,1203.0414999999998,0.934,MEDIUM,pure_trailing_after_impulse,short,percent,next_bar_open
SFZ6,5987,KEEP_FOR_LIVE_PAPER,40,2273.5530000001245,5.108027677722759,1429.7775000001118,0.991,MEDIUM,pure_trailing_after_impulse,long,ticks,next_bar_open
GDU6,34877,KEEP_FOR_LIVE_PAPER,51,2165.845999999928,2.127086767913934,877.2369999999327,0.807,MEDIUM,range_expansion,short,ticks,next_bar_open
BDM6,7589,KEEP_FOR_LIVE_PAPER,53,1562.1199999999722,5.3207450361574296,1060.5959999999736,1.0,MEDIUM,vwap_impulse,short,ticks,next_bar_open
HSM6,6113,KEEP_FOR_LIVE_PAPER,76,1496.7975,3.196904983113686,690.1365,0.982,MEDIUM,pure_trailing_after_impulse,short,ticks,next_bar_open
FEM6,17241,KEEP_FOR_LIVE_PAPER,41,1335.8950000000002,2.253977655665965,633.0719999999999,0.981,MEDIUM,vwap_impulse,short,ticks,next_bar_open
BRQ6,18944,KEEP_FOR_LIVE_PAPER,88,945.395999999972,3.3936954443888934,591.3324999999751,0.657,MEDIUM,pure_trailing_after_impulse,short,ticks,adverse_1tick
S1Z6,25154,KEEP_FOR_LIVE_PAPER,40,940.140499999999,4.333081026080961,213.9514999999972,0.829,MEDIUM,momentum_breakout,short,ticks,next_bar_open
BMV6,7995,KEEP_FOR_LIVE_PAPER,41,751.9585000000056,6.197121382289395,402.0480000000055,0.975,MEDIUM,range_expansion,long,ticks,next_bar_open
SLVRUBF,6347,KEEP_FOR_LIVE_PAPER,55,679.6049999999572,3.333223470764315,402.6569999999626,0.998,MEDIUM,pure_trailing_after_impulse,short,ticks,next_bar_open
BBM6,11184,KEEP_FOR_LIVE_PAPER,41,594.0435000000418,4.13584499291383,191.73100000003708,1.0,MEDIUM,pure_trailing_after_impulse,long,ticks,next_bar_open
BMQ6,12371,KEEP_FOR_LIVE_PAPER,50,557.0670000000081,3.5097743276911766,260.947000000008,1.0,MEDIUM,momentum_breakout,short,ticks,next_bar_open
IRM6,7359,KEEP_FOR_LIVE_PAPER,40,511.45750000000015,2.5994242844991504,224.23750000000004,0.974,MEDIUM,pure_trailing_after_impulse,long,ticks,next_bar_open
NMM6,19453,KEEP_FOR_LIVE_PAPER,46,511.0285,1.6452001239826204,197.05,0.634,MEDIUM,momentum_breakout,short,ticks,next_bar_open
PHM6,21624,KEEP_FOR_LIVE_PAPER,54,403.5569999999999,2.212141327430173,254.804,0.717,MEDIUM,momentum_breakout,short,percent,next_bar_open
