ticker,rows,final_label,test_trades,test_net_2t,test_pf_2t,remove_best_3_net_2t,neighborhood_profitable_2t_pct,microstructure_risk,signal_family,direction,sizing_mode,entry_timing
SiU6,42289,WATCHLIST_SPECULATIVE,58,2193.021,1.4493909305049093,389.1765000000001,0.734,LOW,range_expansion,short,percent,next_bar_open
CEM6,55077,WATCHLIST_SPECULATIVE,110,896.0915000000003,1.2489889330718846,71.52199999999996,0.629,LOW,pure_trailing_after_impulse,short,ticks,next_bar_open
CCM6,37632,WATCHLIST_SPECULATIVE,43,443.6109999999984,1.974363198274476,121.64199999999876,0.68,LOW,range_expansion,short,percent,next_bar_open
SHM6,10696,WATCHLIST_SPECULATIVE,48,303.743999999999,1.667544289554008,137.7809999999984,0.621,LOW,range_expansion,both,percent,next_bar_open
BMN6,29589,WATCHLIST_SPECULATIVE,42,299.7394999999975,2.00159559182253,41.001499999997804,0.44,LOW,trend_pullback,short,ticks,next_bar_open
RLM6,28015,WATCHLIST_SPECULATIVE,45,272.5495,1.7590470328739962,42.075500000000005,0.509,LOW,momentum_breakout,short,ticks,next_bar_open
GNU6,10040,WATCHLIST_SPECULATIVE,70,1513.245499999849,1.9898752128816952,131.51799999986008,0.583,MEDIUM,range_expansion,short,ticks,next_bar_open
FSM6,9555,WATCHLIST_SPECULATIVE,40,1097.8425000000002,6.46696196480325,332.0415,0.981,MEDIUM,vwap_impulse,both,ticks,next_bar_open
S1U6,50302,WATCHLIST_SPECULATIVE,52,1092.6699999999944,1.5836605285459036,172.88349999999463,0.63,MEDIUM,range_expansion,short,percent,next_bar_open
GZU6,16219,WATCHLIST_SPECULATIVE,65,776.1005,1.6349070198452285,402.92300000000006,0.348,MEDIUM,pure_trailing_after_impulse,both,ticks,adverse_1tick
VBU6,9764,WATCHLIST_SPECULATIVE,69,454.39200000000005,2.4482336592766343,240.9705,0.818,MEDIUM,vwap_impulse,short,ticks,next_bar_open
HYM6,7562,WATCHLIST_SPECULATIVE,50,169.33050000000006,1.7073696479036513,24.4,0.735,MEDIUM,pure_trailing_after_impulse,short,ticks,next_bar_open
